selling_price,year,km_driven,mileage,engine,max_power,make,model,transmission_type,seats_coupe,seats_family,seats_large,fuel_cng,fuel_diesel,fuel_electric,fuel_lpg,fuel_petrol,seller_dealer,seller_individual,seller_trustmark dealer
3.85,2013.0,55000,21.9,1396.0,88.76,Hyundai,i20 Sportz 1.4 CRDi,1,0,1,0,0,1,0,0,0,1,0,0
10.0,2011.0,104000,14.66,2199.0,194.3,Hyundai,Santa Fe 4X2,1,0,1,0,0,1,0,0,0,0,1,0
12.5,2019.0,14000,22.0,1582.0,126.2,Hyundai,Verna CRDi 1.6 AT SX Option,0,0,1,0,0,1,0,0,0,1,0,0
5.5,2017.0,18000,20.14,1197.0,81.86,Hyundai,Xcent 1.2 VTVT SX,1,0,1,0,0,0,0,0,1,0,1,0
1.55,2009.0,98780,18.9,998.0,67.1,Maruti,Wagon R LX BS IV,1,0,1,0,0,0,0,0,1,1,0,0
4.15,2015.0,58000,25.2,1248.0,74.0,Maruti,Swift VDI BSIV,1,0,1,0,0,1,0,0,0,1,0,0
2.51,2011.0,30000,20.92,998.0,67.1,Maruti,Alto K10 2010-2014 VXI,1,0,1,0,0,0,0,0,1,0,1,0
11.5,2016.0,46400,15.4,2179.0,120.0,Mahindra,Scorpio S10 7 Seater,1,0,1,0,0,1,0,0,0,1,0,0
3.1,2014.0,32111,19.81,1086.0,68.05,Hyundai,i10 Magna 1.1L,1,0,1,0,0,0,0,0,1,0,0,1
3.5,2015.0,35000,19.44,1198.0,67.0,Datsun,GO Plus T BSIV,1,0,1,0,0,0,0,0,1,0,1,0
11.25,2017.0,30000,15.4,1997.0,120.0,Mahindra,Scorpio 1.99 S6 Plus,1,0,1,0,0,1,0,0,0,1,0,0
26.0,2016.0,63000,18.59,2993.0,261.49,BMW,5 Series 530d M Sport,0,0,1,0,0,1,0,0,0,1,0,0
2.0,2017.0,43890,17.8,1199.0,76.8,Chevrolet,Beat LT,1,0,1,0,0,0,0,0,1,0,1,0
4.8,2018.0,10000,20.62,1198.0,67.0,Datsun,GO Plus Anniversary Edition,1,0,1,0,0,0,0,0,1,0,1,0
8.5,2017.0,25000,28.4,1248.0,74.02,Maruti,Swift Dzire AMT ZDI Plus,0,0,1,0,0,1,0,0,0,0,1,0
11.0,2017.0,102000,17.01,1582.0,126.2,Hyundai,Creta 1.6 CRDi AT SX Plus,0,0,1,0,0,1,0,0,0,1,0,0
5.75,2018.0,35000,22.0,1197.0,81.8,Maruti,Swift VXI 2018,1,0,1,0,0,0,0,0,1,1,0,0
3.4,2012.0,49948,17.5,1298.0,85.8,Maruti,Swift Dzire VXi,1,0,1,0,0,0,0,0,1,1,0,0
5.59,2018.0,114851,25.0,1396.0,69.01,Tata,Indigo eLX BS IV,1,0,1,0,0,1,0,0,0,0,1,0
9.25,2018.0,55000,23.0,1498.0,98.96,Ford,Ecosport 2015-2021 1.5 Diesel Titanium Plus BSIV,1,0,1,0,0,1,0,0,0,0,1,0
4.0,2015.0,36000,18.9,1197.0,82.0,Hyundai,Grand i10 Magna,1,0,1,0,0,0,0,0,1,1,0,0
5.6,2019.0,35000,25.4,1186.0,73.97,Hyundai,Xcent 1.2 CRDi S,1,0,1,0,0,1,0,0,0,0,1,0
7.25,2016.0,49625,17.8,1497.0,117.3,Honda,City i VTEC VX Option,1,0,1,0,0,0,0,0,1,1,0,0
6.0,2014.0,35000,23.4,1248.0,74.0,Maruti,Swift Dzire ZDI,1,0,1,0,0,1,0,0,0,0,1,0
5.5,2013.0,95000,12.05,2179.0,120.0,Mahindra,Scorpio VLX 2WD AIRBAG SE BSIV,1,0,0,1,0,1,0,0,0,0,1,0
5.85,2017.0,36000,25.83,1498.0,99.0,Ford,Aspire 1.5 TDCi Titanium,1,0,1,0,0,1,0,0,0,1,0,0
4.11,2019.0,50000,21.79,998.0,67.05,Maruti,Wagon R VXI,1,0,1,0,0,0,0,0,1,0,1,0
4.5,2015.0,26500,20.85,1197.0,83.14,Maruti,Swift Dzire VXI,1,0,1,0,0,0,0,0,1,0,1,0
12.9,2015.0,80000,13.7,1997.0,153.86,Honda,CR-V 2.0L 2WD AT,0,0,1,0,0,0,0,0,1,1,0,0
4.55,2015.0,46000,16.47,1198.0,74.0,Volkswagen,Polo 1.2 MPI Highline,1,0,1,0,0,0,0,0,1,1,0,0
7.1,2019.0,9000,20.7,1197.0,81.86,Hyundai,Grand i10 Nios Asta,1,0,1,0,0,0,0,0,1,0,1,0
4.5,2016.0,70000,18.49,1493.0,100.0,Mahindra,TUV 300 T4,1,0,1,0,0,1,0,0,0,0,1,0
4.65,2015.0,33000,17.71,1197.0,78.9,Toyota,Etios Liva 1.2 VX,1,0,1,0,0,0,0,0,1,1,0,0
7.7,2016.0,53000,16.8,1497.0,116.3,Honda,City V MT,1,0,1,0,0,0,0,0,1,1,0,0
3.2,2015.0,50000,19.09,1405.0,69.01,Tata,Indigo LS (TDI) BS-III,1,0,1,0,0,1,0,0,0,0,1,0
3.25,2015.0,50000,19.09,1405.0,69.01,Tata,Indigo LX (TDI) BS-III,1,0,1,0,0,1,0,0,0,0,1,0
29.0,2018.0,11387,10.91,3198.0,197.0,Ford,Endeavour 3.2 Titanium AT 4X4,0,0,1,0,0,1,0,0,0,0,1,0
7.2,2018.0,50000,25.8,1498.0,98.6,Honda,Amaze VX i-DTEC,1,0,1,0,0,1,0,0,0,0,1,0
3.75,2016.0,52000,25.32,1198.0,77.0,Mahindra,KUV 100 mFALCON D75 K6 5str,1,0,1,0,0,1,0,0,0,1,0,0
1.45,2010.0,60000,14.49,1399.0,92.7,Chevrolet,Aveo 1.4 LT ABS BSIV,1,0,1,0,0,0,0,0,1,0,1,0
4.0,2015.0,35000,19.44,1198.0,67.0,Datsun,GO Plus T BSIV,1,0,1,0,0,0,0,0,1,0,1,0
6.0,2015.0,48000,19.87,1461.0,83.8,Renault,Duster 85PS Diesel RxL Plus,1,0,1,0,0,1,0,0,0,0,1,0
6.0,2018.0,18000,18.7,1199.0,88.7,Honda,Jazz 1.2 V i VTEC,1,0,1,0,0,0,0,0,1,0,1,0
2.7,2012.0,57413,14.4,998.0,61.7,Maruti,Wagon R LXI DUO,1,0,1,0,0,0,0,1,0,0,1,0
5.0,2015.0,30000,18.6,1197.0,81.83,Hyundai,i20 Magna 1.2,1,0,1,0,0,0,0,0,1,0,1,0
6.5,2015.0,55000,23.9,1582.0,126.2,Hyundai,Verna 1.6 CRDi SX,1,0,1,0,0,1,0,0,0,1,0,0
3.8,2015.0,120000,18.2,1199.0,82.4,Chevrolet,Sail 1.2 LS ABS,1,0,1,0,0,0,0,0,1,0,1,0
7.28,2012.0,165000,13.5,2477.0,175.56,Mitsubishi,Pajero Sport 4X4,1,0,1,0,0,1,0,0,0,0,1,0
6.6,2018.0,10000,21.21,1197.0,81.8,Maruti,Swift AMT ZXI,0,0,1,0,0,0,0,0,1,0,1,0
1.8,2010.0,120000,18.0,1248.0,75.0,Tata,Indica Vista Aura 1.3 Quadrajet,1,0,1,0,0,1,0,0,0,0,1,0
20.9,2016.0,68000,22.69,1995.0,190.0,BMW,3 Series 320d Luxury Line,0,0,1,0,0,1,0,0,0,1,0,0
2.5,2015.0,55000,25.44,936.0,56.3,Chevrolet,Beat Diesel LS,1,0,1,0,0,1,0,0,0,1,0,0
12.75,2020.0,8000,16.8,1497.0,113.4,Kia,Seltos HTK Plus G,1,0,1,0,0,0,0,0,1,1,0,0
4.55,2012.0,80000,14.53,1798.0,138.1,Toyota,Corolla Altis G,1,0,1,0,0,0,0,0,1,1,0,0
4.95,2015.0,65000,28.4,1248.0,74.0,Maruti,Swift VDI,1,0,1,0,0,1,0,0,0,1,0,0
2.2,2010.0,47000,21.1,1197.0,85.8,Maruti,Ritz VXI,1,0,1,0,0,0,0,0,1,0,1,0
8.0,2018.0,185000,25.1,1248.0,88.5,Maruti,S-Cross 2017-2020 Zeta DDiS 200 SH,1,0,1,0,0,1,0,0,0,0,1,0
12.95,2014.0,68000,13.01,2199.0,194.3,Hyundai,Santa Fe 2WD AT,0,0,1,0,0,1,0,0,0,1,0,0
4.75,2016.0,25000,18.9,1197.0,82.0,Hyundai,Grand i10 Sportz,1,0,1,0,0,0,0,0,1,0,1,0
3.8,2014.0,280000,15.3,2956.0,83.83,Tata,Sumo Gold EX,1,0,1,0,0,1,0,0,0,0,1,0
9.0,2018.0,7791,25.1,1248.0,88.5,Maruti,S-Cross 2017-2020 Zeta DDiS 200 SH,1,0,1,0,0,1,0,0,0,0,1,0
5.3,2015.0,70000,20.73,1373.0,91.1,Maruti,Ciaz VXi Plus,1,0,1,0,0,0,0,0,1,0,1,0
5.3,2016.0,9500,23.84,1199.0,84.0,Tata,Tiago 1.2 Revotron XZ,1,0,1,0,0,0,0,0,1,0,1,0
6.5,2015.0,9100,17.01,1591.0,121.3,Hyundai,Verna 1.6 VTVT S,1,0,1,0,0,0,0,0,1,0,1,0
4.95,2010.0,82000,12.8,2354.0,177.6,Honda,New Accord 2008-2011 2.4 MT,1,0,1,0,0,0,0,0,1,1,0,0
3.35,2010.0,86000,17.0,1497.0,118.0,Honda,City 1.5 S MT,1,0,1,0,0,0,0,0,1,1,0,0
46.75,2020.0,19000,17.01,1968.0,188.0,Audi,Q5 40 TDI Technology,0,0,1,0,0,1,0,0,0,1,0,0
12.9,2013.0,78000,16.55,1968.0,147.51,Audi,A4 2.0 TDI,0,0,1,0,0,1,0,0,0,1,0,0
3.0,2011.0,60000,20.0,1399.0,68.0,Ford,Figo Diesel Titanium,1,0,1,0,0,1,0,0,0,0,1,0
5.5,2019.0,7883,21.5,1197.0,81.8,Maruti,Wagon R ZXI AMT 1.2BSIV,0,0,1,0,0,0,0,0,1,0,0,1
3.9,2013.0,50205,23.4,1248.0,74.0,Maruti,Swift Dzire LDI,1,0,1,0,0,1,0,0,0,0,0,1
2.6,2008.0,220000,13.6,2523.0,63.0,Mahindra,Bolero DI AC BSIII,1,0,1,0,0,1,0,0,0,0,1,0
3.95,2017.0,58000,24.7,1047.0,69.0,Tata,Tigor 1.05 Revotorq XT,1,0,1,0,0,1,0,0,0,1,0,0
5.5,2012.0,170000,12.05,2179.0,120.0,Mahindra,Scorpio SLE BSIII,1,0,0,1,0,1,0,0,0,0,1,0
