,SouceToDestination_city,ROUTE,#source_cities,#destination_cities,Number_of_Trips,Average_Actual_distance_to_destination,#source_states,#destination_states,destination_states,source_states,source_cities,route_type,destination_cities
10,Dausa TO Lalsot,Dausa Hindaun Karauli Gangapur Jaipur Bassi Lalsot -- Hindaun Karauli Gangapur Jaipur Bassi Dausa Lalsot,7,7,17,232.40831012992058,1,1,Rajasthan,Rajasthan,Dausa Hindaun Karauli Gangapur Jaipur Bassi Lalsot,Carting,Hindaun Karauli Gangapur Jaipur Bassi Dausa Lalsot
11,Hyderabad TO Miryalguda,"Hyderabad Vijayawada Khammam Suryapet Nalgonda Miryalguda
 Choutuppal -- Choutuppal Khammam Suryapet Nalgonda Hyderabad Vijayawada
 Miryalguda",7,7,7,420.60370913460076,2,2,Telangana Andhra Pradesh,Telangana Andhra Pradesh,"Hyderabad Vijayawada Khammam Suryapet Nalgonda Miryalguda
 Choutuppal",FTL,"Choutuppal Khammam Suryapet Nalgonda Hyderabad Vijayawada
 Miryalguda"
12,Pondicherry TO Pondicherry,"Pondicherry Cuddalore Chidambaram Sirkazhi Karaikal
 Nagapttinm Thiruvarur -- Cuddalore Chidambaram Sirkazhi Karaikal Nagapttinm Thiruvarur
 Pondicherry",7,7,12,230.2536020863552,2,2,Tamil Nadu Pondicherry,Pondicherry Tamil Nadu,"Pondicherry Cuddalore Chidambaram Sirkazhi Karaikal
 Nagapttinm Thiruvarur",FTL,"Cuddalore Chidambaram Sirkazhi Karaikal Nagapttinm Thiruvarur
 Pondicherry"
13,Varanasi TO Varanasi,Varanasi Ghazipur Ghosi Dohrighat Mau Jiyanpur Chiraiyakot -- Ghazipur Mau Dohrighat Jiyanpur Ghosi Chiraiyakot Varanasi,7,7,8,82.54501922596509,1,1,Uttar Pradesh,Uttar Pradesh,Varanasi Ghazipur Ghosi Dohrighat Mau Jiyanpur Chiraiyakot,FTL,Ghazipur Mau Dohrighat Jiyanpur Ghosi Chiraiyakot Varanasi
14,Mysore TO Mysore,"Mysore Nanjangud Gundlupet Chamarjngr Kollegala Malavalli
 Tirumakudalu -- Nanjangud Gundlupet Chamarjngr Kollegala Malavalli
 Tirumakudalu Mysore",7,7,12,154.32418972802103,1,1,Karnataka,Karnataka,"Mysore Nanjangud Gundlupet Chamarjngr Kollegala Malavalli
 Tirumakudalu",FTL,"Nanjangud Gundlupet Chamarjngr Kollegala Malavalli
 Tirumakudalu Mysore"
15,Shrirampur TO Sangamner,"Shrirampur Shirdi Kopargaon Vaijiapur Nashik Sinnar
 Sangamner -- Shirdi Kopargaon Vaijiapur Nashik Shrirampur Sinnar
 Sangamner",7,7,20,204.5095291382335,1,1,Maharashtra,Maharashtra,"Shrirampur Shirdi Kopargaon Vaijiapur Nashik Sinnar
 Sangamner",Carting,"Shirdi Kopargaon Vaijiapur Nashik Shrirampur Sinnar
 Sangamner"
16,Vijayawada TO Suryapet,"Vijayawada Khammam Nalgonda Hyderabad Choutuppal Miryalguda
 Suryapet -- Khammam Nalgonda Hyderabad Choutuppal Miryalguda Vijayawada
 Suryapet",7,7,8,407.02939052265117,2,2,Telangana Andhra Pradesh,Andhra Pradesh Telangana,"Vijayawada Khammam Nalgonda Hyderabad Choutuppal Miryalguda
 Suryapet",FTL,"Khammam Nalgonda Hyderabad Choutuppal Miryalguda Vijayawada
 Suryapet"
17,Tinusukia TO Dibrugarh,Tinusukia DoomDooma Namsai Tezu Dibrugarh Chabua Roing -- DoomDooma Namsai Tezu Roing Chabua Tinusukia Dibrugarh,7,7,16,111.09854271072166,2,2,Assam Arunachal Pradesh,Assam Arunachal Pradesh,Tinusukia DoomDooma Namsai Tezu Dibrugarh Chabua Roing,Carting,DoomDooma Namsai Tezu Roing Chabua Tinusukia Dibrugarh
18,Kamarpukur TO Kolkata,Kamarpukur Kolkata Tarkeshwar Khanakul Arambag MirzapurWB -- MirzapurWB Tarkeshwar Khanakul Arambag Kamarpukur Kolkata,6,6,12,70.125590078499,1,1,West Bengal,West Bengal,Kamarpukur Kolkata Tarkeshwar Khanakul Arambag MirzapurWB,FTL,MirzapurWB Tarkeshwar Khanakul Arambag Kamarpukur Kolkata
19,Akola TO Buldhana,Akola Shegaon Buldhana Khamgaon Mehkar Chikhli -- Mehkar Akola Khamgaon Shegaon Chikhli Buldhana,6,6,8,112.23423052375867,1,1,Maharashtra,Maharashtra,Akola Shegaon Buldhana Khamgaon Mehkar Chikhli,FTL,Mehkar Akola Khamgaon Shegaon Chikhli Buldhana
20,Junagadh TO Veraval,Junagadh Veraval Kodinar Una Talala Mangrol -- Junagadh Kodinar Una Talala Mangrol Veraval,6,6,19,179.53859606080465,1,1,Gujarat,Gujarat,Junagadh Veraval Kodinar Una Talala Mangrol,Carting,Junagadh Kodinar Una Talala Mangrol Veraval
21,Hassan TO Mudigere,Hassan Tiptur Arsikere nan Mudigere Sakleshpur Chikmagalur -- Tiptur Arsikere nan Chikmagalur Sakleshpur Hassan Mudigere,6,6,15,132.87091066902966,1,1,Karnataka nan,Karnataka nan,Hassan Tiptur Arsikere nan Mudigere Sakleshpur Chikmagalur,FTL,Tiptur Arsikere nan Chikmagalur Sakleshpur Hassan Mudigere
22,Baddi TO Kalka,Baddi Chandigarh Kalka Nalagarh Solan Parwanoo -- Chandigarh Solan Baddi Parwanoo Kalka,6,5,21,138.01530225455198,3,3,Punjab Himachal Pradesh Haryana,Himachal Pradesh Punjab Haryana,Baddi Chandigarh Kalka Nalagarh Solan Parwanoo,FTL,Chandigarh Solan Baddi Parwanoo Kalka
23,Allahabad TO Churhat,Allahabad Satna Churhat Sidhi Maihar Rewa -- Satna Rewa Sidhi Allahabad Maihar Churhat,6,6,12,266.34404839950804,2,2,Madhya Pradesh Uttar Pradesh,Uttar Pradesh Madhya Pradesh,Allahabad Satna Churhat Sidhi Maihar Rewa,FTL,Satna Rewa Sidhi Allahabad Maihar Churhat
24,Villupuram TO Villupuram,Villupuram Panruti Neyveli Virudhchlm Pennadam Chinnasalem -- Panruti Neyveli Virudhchlm Pennadam Chinnasalem Villupuram,6,6,15,202.1608529374007,1,1,Tamil Nadu,Tamil Nadu,Villupuram Panruti Neyveli Virudhchlm Pennadam Chinnasalem,Carting,Panruti Neyveli Virudhchlm Pennadam Chinnasalem Villupuram
25,Karimnagar TO Jagtial,Karimnagar Vemulawada Luxettipet Jagtial Koratla Metpally -- Vemulawada Metpally Karimnagar DhrmpuriTS Jagtial,6,5,7,111.25288973623786,1,1,Telangana,Telangana,Karimnagar Vemulawada Luxettipet Jagtial Koratla Metpally,FTL,Vemulawada Metpally Karimnagar DhrmpuriTS Jagtial
26,Sivaganga TO Madurai,"Sivaganga Paramakudi Ramnthpurm Rameswram Muthukulathur
 Narikkudi -- Paramakudi Ramnthpurm Rameswram Muthukulathur Narikkudi
 Madurai",6,6,8,237.67093765474496,1,1,Tamil Nadu,Tamil Nadu,"Sivaganga Paramakudi Ramnthpurm Rameswram Muthukulathur
 Narikkudi",FTL,"Paramakudi Ramnthpurm Rameswram Muthukulathur Narikkudi
 Madurai"
27,Srikakulam TO Bobbili,Srikakulam Rajam Bobbili Parvathipuram Palakonda Salur -- Rajam Salur Parvathipuram Palakonda Srikakulam Bobbili,6,6,22,154.49528330364112,1,1,Andhra Pradesh,Andhra Pradesh,Srikakulam Rajam Bobbili Parvathipuram Palakonda Salur,FTL,Rajam Salur Parvathipuram Palakonda Srikakulam Bobbili
28,Baharampur TO Ghanashyampur,Baharampur Morgram Rampurhat Ghanashyampur Khargram Kandi -- Morgram Rampurhat Khargram Baharampur Kandi Ghanashyampur,6,6,7,109.2374787636281,1,1,West Bengal,West Bengal,Baharampur Morgram Rampurhat Ghanashyampur Khargram Kandi,Carting,Morgram Rampurhat Khargram Baharampur Kandi Ghanashyampur
29,Aluva TO Aluva,Aluva Arimbur Sankaramangalam Shoranur Pazhayannur Thrissur -- Arimbur Sankaramangalam Shoranur Pazhayannur Thrissur Aluva,6,6,12,151.7448453814868,1,1,Kerala,Kerala,Aluva Arimbur Sankaramangalam Shoranur Pazhayannur Thrissur,Carting,Arimbur Sankaramangalam Shoranur Pazhayannur Thrissur Aluva
30,Madhupur TO Madhupur,Madhupur Deoghar Godda Sahebganj Dhanbad Giridih -- Dhanbad Godda Sahebganj Deoghar Giridih Madhupur,6,6,21,252.07225938617134,1,1,Jharkhand,Jharkhand,Madhupur Deoghar Godda Sahebganj Dhanbad Giridih,FTL,Dhanbad Godda Sahebganj Deoghar Giridih Madhupur
31,Hassan TO Arsikere,Hassan Mudigere Sakleshpur Chikmagalur Arsikere Tiptur -- Tiptur Sakleshpur Hassan Mudigere Arsikere,6,5,6,98.42631949954443,1,1,Karnataka,Karnataka,Hassan Mudigere Sakleshpur Chikmagalur Arsikere Tiptur,FTL,Tiptur Sakleshpur Hassan Mudigere Arsikere
32,Kazhakkoottam TO Pangodu,"Kazhakkoottam Attingal Kalluvathukal Pangodu Kilimanoor
 Trivandrum -- Attingal Kalluvathukal Kilimanoor Trivandrum Pangodu",6,5,21,49.18053805006513,1,1,Kerala,Kerala,"Kazhakkoottam Attingal Kalluvathukal Pangodu Kilimanoor
 Trivandrum",Carting,Attingal Kalluvathukal Kilimanoor Trivandrum Pangodu
33,Karimnagar TO Luxettipet,"Karimnagar Vemulawada Jagtial Luxettipet Metpally DhrmpuriTS
 nan -- Vemulawada nan DhrmpuriTS Karimnagar Jagtial Metpally
 Luxettipet",6,6,13,120.23049443577416,1,1,Telangana nan,Telangana nan,"Karimnagar Vemulawada Jagtial Luxettipet Metpally DhrmpuriTS
 nan",FTL,"Vemulawada nan DhrmpuriTS Karimnagar Jagtial Metpally
 Luxettipet"
34,Bhubaneshwar TO Jaleswar,Bhubaneshwar Jaleswar Balasore Basta Bhadrak Soro -- Bhadrak Kolkata Basta Soro Balasore Jaleswar,6,6,14,193.02324346162368,1,2,Orissa West Bengal,Orissa,Bhubaneshwar Jaleswar Balasore Basta Bhadrak Soro,FTL,Bhadrak Kolkata Basta Soro Balasore Jaleswar
35,Dola TO PaliBirsighpr,Dola Umaria Shahdol Jabalpur PaliBirsighpr Anuppur -- Jabalpur Shahdol Dola Umaria Anuppur PaliBirsighpr,6,6,9,165.499970155093,1,1,Madhya Pradesh,Madhya Pradesh,Dola Umaria Shahdol Jabalpur PaliBirsighpr Anuppur,FTL,Jabalpur Shahdol Dola Umaria Anuppur PaliBirsighpr
36,Pukhrayan TO Kanpur,Pukhrayan Orai Kanpur Akbarpur Konch Rath -- Orai Konch Akbarpur Pukhrayan Rath Kanpur,6,6,22,139.83494526036563,1,1,Uttar Pradesh,Uttar Pradesh,Pukhrayan Orai Kanpur Akbarpur Konch Rath,FTL,Orai Konch Akbarpur Pukhrayan Rath Kanpur
37,Balotra TO Balotra,Balotra Pokhran Phalodi Barmer Jaisalmer Jodhpur -- Barmer Phalodi Jodhpur Jaisalmer Pokhran Balotra,6,6,18,332.0340221422344,1,1,Rajasthan,Rajasthan,Balotra Pokhran Phalodi Barmer Jaisalmer Jodhpur,FTL,Barmer Phalodi Jodhpur Jaisalmer Pokhran Balotra
38,Kamareddy TO Kamareddy,Kamareddy Bodhan Banswada Yellareddy Medak Narsapur -- Bodhan Banswada Yellareddy Medak Narsapur Kamareddy,6,6,21,177.92332991511879,1,1,Telangana,Telangana,Kamareddy Bodhan Banswada Yellareddy Medak Narsapur,FTL,Bodhan Banswada Yellareddy Medak Narsapur Kamareddy
39,Durgapur TO Durgapur,Durgapur Mejia Rghunthpur Hura Purulia Jhalda -- Mejia Rghunthpur Hura Purulia Jhalda Durgapur,6,6,16,249.7694877761138,1,1,West Bengal,West Bengal,Durgapur Mejia Rghunthpur Hura Purulia Jhalda,FTL,Mejia Rghunthpur Hura Purulia Jhalda Durgapur
40,Suratgarh TO RaisingNgr,"Suratgarh Srivijaynagar Hanumangarh RaisingNgr Pilibanga
 Anupgarh -- Srivijaynagar Anupgarh Pilibanga Hanumangarh Suratgarh
 RaisingNgr",6,6,16,144.65845307511267,1,1,Rajasthan,Rajasthan,"Suratgarh Srivijaynagar Hanumangarh RaisingNgr Pilibanga
 Anupgarh",Carting,"Srivijaynagar Anupgarh Pilibanga Hanumangarh Suratgarh
 RaisingNgr"
41,Pali TO MarwarJn,Pali Jalore Bhinmal Sirohi Sumerpur Falna -- Jalore Bhinmal Sirohi Sumerpur Falna MarwarJn,6,6,6,155.98565034955251,1,1,Rajasthan,Rajasthan,Pali Jalore Bhinmal Sirohi Sumerpur Falna,FTL,Jalore Bhinmal Sirohi Sumerpur Falna MarwarJn
42,Noida TO Khurja,Noida Khurja Jewar Pahasu Anupshahar Bulndshahr -- Sikandrabd Jewar Pahasu Anupshahar Noida Khurja,6,6,21,208.71404315589984,1,1,Uttar Pradesh,Uttar Pradesh,Noida Khurja Jewar Pahasu Anupshahar Bulndshahr,FTL,Sikandrabd Jewar Pahasu Anupshahar Noida Khurja
43,Anantapur TO Anantapur,Anantapur Dharmavram Puttaprthi Kadiri Rayachoti Pulivendula -- Dharmavram Puttaprthi Kadiri Rayachoti Pulivendula Anantapur,6,6,15,260.00415314104146,1,1,Andhra Pradesh,Andhra Pradesh,Anantapur Dharmavram Puttaprthi Kadiri Rayachoti Pulivendula,FTL,Dharmavram Puttaprthi Kadiri Rayachoti Pulivendula Anantapur
44,Dindigul TO Gujiliam,Dindigul Oddnchtram Palani Kodaikanal Batlagundu Vadipatti -- Oddnchtram Palani Kodaikanal Batlagundu Vadipatti Gujiliam,6,6,16,90.67099196899932,1,1,Tamil Nadu,Tamil Nadu,Dindigul Oddnchtram Palani Kodaikanal Batlagundu Vadipatti,FTL,Oddnchtram Palani Kodaikanal Batlagundu Vadipatti Gujiliam
45,Kolhapur TO Kolhapur,Kolhapur Nipani Chikodi Athani Bijapur Jath -- Nipani Chikodi Athani Bijapur Jath Kolhapur,6,6,10,171.88603162347997,2,2,Karnataka Maharashtra,Maharashtra Karnataka,Kolhapur Nipani Chikodi Athani Bijapur Jath,FTL,Nipani Chikodi Athani Bijapur Jath Kolhapur
46,Purnia TO Purnia,Purnia Araria Raniganj Forbesganj Simrahi Narpatganj -- Araria Raniganj Forbesganj Simrahi Narpatganj Purnia,6,6,10,197.23245238488536,1,1,Bihar,Bihar,Purnia Araria Raniganj Forbesganj Simrahi Narpatganj,FTL,Araria Raniganj Forbesganj Simrahi Narpatganj Purnia
47,Makrana TO Makrana,Makrana Degana Merta Ajmer Kishangarh Parbatsar -- Degana Merta Ajmer Kishangarh Parbatsar Makrana,6,6,19,131.91646153831778,1,1,Rajasthan,Rajasthan,Makrana Degana Merta Ajmer Kishangarh Parbatsar,FTL,Degana Merta Ajmer Kishangarh Parbatsar Makrana
48,Dhule TO Shirpur,Dhule Sakri Nandurbar Shahada Shirpur Shindkheda -- Sakri Nandurbar Shahada Shindkheda Dhule Shirpur,6,6,22,150.01623282769398,1,1,Maharashtra,Maharashtra,Dhule Sakri Nandurbar Shahada Shirpur Shindkheda,FTL,Sakri Nandurbar Shahada Shindkheda Dhule Shirpur
49,Kolhapur TO Kolhapur,Kolhapur Nipani Chikodi Athani Bijapur Jath -- Nipani Chikodi Athani Bijapur Jath Kolhapur,6,6,4,291.5255544117053,2,2,Karnataka Maharashtra,Maharashtra Karnataka,Kolhapur Nipani Chikodi Athani Bijapur Jath,FTL,Nipani Chikodi Athani Bijapur Jath Kolhapur
50,Gorakhpur TO Kushinagar,Gorakhpur Deoria Kushinagar Padrauna Kaptanganj Salempur -- Deoria Salempur Padrauna Kaptanganj Gorakhpur Kushinagar,6,6,18,148.27988522711587,1,1,Uttar Pradesh,Uttar Pradesh,Gorakhpur Deoria Kushinagar Padrauna Kaptanganj Salempur,FTL,Deoria Salempur Padrauna Kaptanganj Gorakhpur Kushinagar
51,Jaipur TO Jaipur,Jaipur Ajmer Pali Jodhpur Piparcity Gotan -- Ajmer Pali Jodhpur Gotan Piparcity Jaipur,6,6,9,481.9360656960567,1,1,Rajasthan,Rajasthan,Jaipur Ajmer Pali Jodhpur Piparcity Gotan,FTL,Ajmer Pali Jodhpur Gotan Piparcity Jaipur
52,Madurai TO Maharajapuram,Madurai Sivakasi Sankaran Maharajapuram Rajpalayam -- Sivakasi Sankaran Rajpalayam Madurai Maharajapuram,5,5,17,174.51114142534493,1,1,Tamil Nadu,Tamil Nadu,Madurai Sivakasi Sankaran Maharajapuram Rajpalayam,FTL,Sivakasi Sankaran Rajpalayam Madurai Maharajapuram
53,Mangalore TO Dhrmsthala,Mangalore Bengaluru Hassan Bantwal Dhrmsthala -- Bantwal Hassan Mangalore Bengaluru Dhrmsthala,5,5,8,362.63921595282875,1,1,Karnataka,Karnataka,Mangalore Bengaluru Hassan Bantwal Dhrmsthala,FTL,Bantwal Hassan Mangalore Bengaluru Dhrmsthala
54,Chandigarh TO Dhuri,Chandigarh Patiala Malerkotla Sunam Nabha -- Patiala Malerkotla Sangrur Chandigarh Nabha Dhuri,5,6,15,128.4317688251243,1,1,Punjab,Punjab,Chandigarh Patiala Malerkotla Sunam Nabha,FTL,Patiala Malerkotla Sangrur Chandigarh Nabha Dhuri
55,Varanasi TO Badlapur,Varanasi Jaunpur Azamgarh Saraimeer Shahganj -- Jaunpur Jalalpur Saraimeer Shahganj Badlapur,5,5,4,75.72165249197576,1,1,Uttar Pradesh,Uttar Pradesh,Varanasi Jaunpur Azamgarh Saraimeer Shahganj,FTL,Jaunpur Jalalpur Saraimeer Shahganj Badlapur
56,Vijayawada TO HanumanJNC,Vijayawada Eluru Kaikaluru HanumanJNC Nuzvid -- Nuzvid Kaikaluru Vijayawada Eluru HanumanJNC,5,5,21,114.52719592010706,1,1,Andhra Pradesh,Andhra Pradesh,Vijayawada Eluru Kaikaluru HanumanJNC Nuzvid,FTL,Nuzvid Kaikaluru Vijayawada Eluru HanumanJNC
57,Hubli TO Hubli,Hubli Bailhongal Saundatti Gokak Dharwad -- Dharwad Gokak Bailhongal Hubli,5,4,20,84.23514315767282,1,1,Karnataka,Karnataka,Hubli Bailhongal Saundatti Gokak Dharwad,FTL,Dharwad Gokak Bailhongal Hubli
58,Ludhiana TO SirhindFatehgarh,Ludhiana Khanna Mandi SirhindFatehgarh Rajpura -- Khanna Ludhiana Rajpura Mandi SirhindFatehgarh,5,5,20,67.45704887614546,1,1,Punjab,Punjab,Ludhiana Khanna Mandi SirhindFatehgarh Rajpura,FTL,Khanna Ludhiana Rajpura Mandi SirhindFatehgarh
59,Balasore TO Udala,Balasore Betnoti Udala Sankerko Baripada -- Betnoti Baripada Balasore Udala,5,4,13,56.48798237688848,1,1,Orissa,Orissa,Balasore Betnoti Udala Sankerko Baripada,FTL,Betnoti Baripada Balasore Udala
60,Rewari TO Narnaul,Rewari Narnaul Gurgaon Bhiwadi Neemrana -- Gurgaon Rewari Neemrana Dharuhera Narnaul,5,5,12,104.18342061917622,2,2,Haryana Rajasthan,Haryana Rajasthan,Rewari Narnaul Gurgaon Bhiwadi Neemrana,FTL,Gurgaon Rewari Neemrana Dharuhera Narnaul
61,Karimnagar TO Kaghaznagar,Karimnagar Kaghaznagar Mancherial Asifabad Bellmpalli -- Mancherial Karimnagar Bellmpalli Asifabad Kaghaznagar,5,5,18,129.91451023614206,1,1,Telangana,Telangana,Karimnagar Kaghaznagar Mancherial Asifabad Bellmpalli,FTL,Mancherial Karimnagar Bellmpalli Asifabad Kaghaznagar
62,Rampur TO Rampur,Rampur Baheri Pilibhit Puranpur Bilaspur -- Baheri Pilibhit Puranpur Bilaspur Rampur,5,5,8,147.76210570914918,1,1,Uttar Pradesh,Uttar Pradesh,Rampur Baheri Pilibhit Puranpur Bilaspur,Carting,Baheri Pilibhit Puranpur Bilaspur Rampur
63,Anantapur TO Anantapur,Anantapur Tadipatri Proddatur Cuddapah Badvel -- Tadipatri Proddatur Cuddapah Badvel Anantapur,5,5,2,348.01777999640524,1,1,Andhra Pradesh,Andhra Pradesh,Anantapur Tadipatri Proddatur Cuddapah Badvel,FTL,Tadipatri Proddatur Cuddapah Badvel Anantapur
64,Tumkur TO Tumkur,Tumkur Doddablpur Chikblapur Bagepalli Gauribidanur -- Doddablpur Chikblapur Bagepalli Gauribidanur Tumkur,5,5,16,124.64552583349871,1,1,Karnataka,Karnataka,Tumkur Doddablpur Chikblapur Bagepalli Gauribidanur,Carting,Doddablpur Chikblapur Bagepalli Gauribidanur Tumkur
65,Delhi TO Meham,Delhi Gurgaon Hisar Hansi Meham -- Gurgaon Hisar Delhi Hansi Meham,5,5,11,251.18912553154715,2,2,Haryana Delhi,Delhi Haryana,Delhi Gurgaon Hisar Hansi Meham,FTL,Gurgaon Hisar Delhi Hansi Meham
66,Goa TO Ankola,Goa Canacona Ankola Honnavar Bhatkal -- Canacona Mangalore Honnavar Bhatkal Ankola,5,5,12,266.10875766955905,2,2,Goa Karnataka,Goa Karnataka,Goa Canacona Ankola Honnavar Bhatkal,FTL,Canacona Mangalore Honnavar Bhatkal Ankola
67,Gorakhpur TO Sahatwar,Gorakhpur Sahatwar Bariya Ratanpura Sikandarpur -- Sikandarpur Bariya Ratanpura Gorakhpur Sahatwar,5,5,18,212.72685336813433,1,1,Uttar Pradesh,Uttar Pradesh,Gorakhpur Sahatwar Bariya Ratanpura Sikandarpur,FTL,Sikandarpur Bariya Ratanpura Gorakhpur Sahatwar
68,Itarsi TO Itarsi,Itarsi Betul Pandhurna Bhopal Hoshangabad -- Betul Pandhurna Sausar Hoshangabad Itarsi,5,5,21,192.43634054145323,1,1,Madhya Pradesh,Madhya Pradesh,Itarsi Betul Pandhurna Bhopal Hoshangabad,FTL,Betul Pandhurna Sausar Hoshangabad Itarsi
69,Varanasi TO Azamgarh,Varanasi Azamgarh Saraimeer Shahganj Badlapur -- Jalalpur Saraimeer Shahganj Badlapur Jaunpur Azamgarh,5,6,4,130.41414906354396,1,1,Uttar Pradesh,Uttar Pradesh,Varanasi Azamgarh Saraimeer Shahganj Badlapur,FTL,Jalalpur Saraimeer Shahganj Badlapur Jaunpur Azamgarh
70,Jaipur TO Achrol,Jaipur Kotputli Paota Achrol Alwar -- Alwar Paota Jaipur Achrol,5,4,22,170.15604532470135,1,1,Rajasthan,Rajasthan,Jaipur Kotputli Paota Achrol Alwar,FTL,Alwar Paota Jaipur Achrol
71,Sonipat TO Sonipat,Sonipat Kurukshetra Pehowa Kaithal Safidon -- Kurukshetra Pehowa Kaithal Assandh Sonipat,5,5,3,175.5704155996291,1,1,Haryana,Haryana,Sonipat Kurukshetra Pehowa Kaithal Safidon,FTL,Kurukshetra Pehowa Kaithal Assandh Sonipat
